Місто,Район,Вулиця,ЖК,Клас ЖК,Однокімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Двохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Трьохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Рік побудування,Метро,Навчальні заклади,Лікарня,"ТЦ, ринок, магазини",Паркові зони,Транспортна розв'язка,Школа,Дитячий садок,URL
Київ,метро Голосіївська,Голосіївський,ЖК Orange City (Оранж Сіті),Клас комфорт,217 квартир,від 78.59 м²,від 828 $ за м²,від 65 047 $,25 квартир,від 78.59 м²,від 828 $ за м²,від 65 047 $,30 квартир,від 78.59 м²,від 828 $ за м²,від 65 047 $,None,Голосіївська 25 хв Деміївська 29 хв ,"19 хв Частный детский мини-сад ""Кенгуренок"" 35 хв Приватний дитячий садок TEREMOK-UNION 39 хв Jad asfour","31 хв Доктор Марченко 34 хв Медичний Центр ""Медейра"" 37 хв Педіатричний центр ""Педіатрія з любов'ю""","26 хв Компанія ""Імпорт-офіс"" 34 хв Компанія Finnmaster (покрівлі та дашки) 69 хв Магазин Домосфера",22 хв Метро станция 38 хв Сквер 53 хв Лиса гора,"40 хв Станція Київ-Деміївський 48 хв Автостанція ""Видубичі"" 65 хв ст. м. Видубичі",,,https://dom.ria.com/uk/novostroyka-zhk-orange-city-5223/
Київ,"метро Палац ""Україна""",Голосіївський,ЖК Montreal House (Монреаль Хаус),Клас бізнес,4 квартири,від 78.13 м²,від 2 980 $ за м²,від 232 827 $,6 квартир,від 78.13 м²,від 2 980 $ за м²,від 232 827 $,4 квартири,від 78.13 м²,від 2 980 $ за м²,від 232 827 $,None,"Палац ""Україна"" 8 хв Олімпійська 13 хв Либідська 18 хв ","4 хв Міжнародна школа програмування для дітей ""Logika"" 4 хв Мовна школа ШОНА 13 хв Національний університет фізичного виховання і спорту України","3 хв Амбулаторія №4, КНП ""ЦПМСД №2"" Голосіївського району 4 хв Стоматологічна клініка ""Анна-Дент""","4 хв Магазин меблів ""Object No."" 10 хв Магазин одягу ""Marco Zarini"" 13 хв Торговий центр ""Олімпійський"" 13 хв Магазин кальянів ""Кальянчик"" 20 хв Салон краси ""Xarizma""","8 хв Парк Поліцейський скверик 17 хв Парк ""Голос літа""",10 хв ст. м. Палац «Україна»,,,https://dom.ria.com/uk/novostroyka-zhk-montreal-house-6641/
Київ,метро Сирець,Подільський,ЖК Сирецькі Сади,Клас комфорт,8 планувань,від 78.67 м²,від 1 060 $ за м²,від 88 504 $,7 планувань,від 78.67 м²,від 1 060 $ за м²,від 88 504 $,6 планувань,від 78.67 м²,від 1 060 $ за м²,від 88 504 $,Всі секції,Сирець 25 хв Берестейська 28 хв Дорогожичі 29 хв ,"12 хв Дистанційна школа “Меридіан” 19 хв Sky Garden 32 хв Dytyachyy Spetsializovanyy Sanatoriy ""Lastivka""",17 хв V Dental & Beauty Clinic 20 хв MIRUM clinic 31 хв Київська обласна клінічна лікарня №2,"21 хв Зелений Універмаг -торговий центр 27 хв ТЦ ""МегаМаркет"" Нивки 38 хв Зоомагазин ""ANIMAL KINGDOM SHOP""",14 хв Парк 21 хв Сирецький дендрологічний парк,24 хв ст. м. Нивки 35 хв вул. Івана Кавалерідзе,,,https://dom.ria.com/uk/novostroyka-zhk-syretski-sady-5638/
Київ,метро Іподром,Голосіївський,ЖК Life Story (Лайф Сторі),Клас бізнес,29 квартир,від 94.3 м²,від 1 435 $ за м²,від 135 347 $,38 квартир,від 94.3 м²,від 1 435 $ за м²,від 135 347 $,4 квартири,від 94.3 м²,від 1 435 $ за м²,від 135 347 $,None,Іподром 38 хв Виставковий центр 43 хв ,"11 хв Школа-інтернат №7 для дітей з важкими вадами мовлення 11 хв Центр ребілітації для дітей з аутизмом ""Школа-сходинки"" 21 хв Дитячий клуб інтелектуального розвитку та дозвілля ""Казка""","4 хв Гастроклініка «Olymed» 5 хв Медичний центр ""EmCell"" 5 хв Медичний центр ""Юстум Мед""","35 хв Туристична агенція «eQuator» 40 хв Торгово-виставковий центр ""INTERIOR OUTLET""",9 хв Автодром «Феофанія» 31 хв Лісовий майданчик,"19 хв ст. м. ""Теремки"" 54 хв ст. м. ""Виставковий центр""",13 хв Школа І-ІІІ ступенів №236,,https://dom.ria.com/uk/novostroyka-zhk-life-story-7516/
Київ,метро Чернігівська,Дніпровський,ЖК Star City (Стар Сіті),Клас комфорт,90 квартир,від 81.69 м²,від 923 $ за м²,від 75 364 $,129 квартир,від 81.69 м²,від 923 $ за м²,від 75 364 $,86 квартир,від 81.69 м²,від 923 $ за м²,від 75 364 $,Всі секції,Чернігівська 28 хв Дарниця 34 хв Лівобережна 43 хв ,"9 хв Центр творчості ""Анімагія"" 12 хв Дитячий садок ""Лучезарик центр"" (Luchezarikcentr)","6 хв Медобладнання ПрАТ ""Розум"" 10 хв Медичний центр для чоловіків ""Уро Плюс"" 14 хв Медицинский центр ""Медилекс""","18 хв Магазин ТВ-Шоп (СПД Торопко О.Н.) 18 хв Торгово-офісний комплекс ""Мега-сіті"" 18 хв Сервісний центр ""MEGA СЕРВІС""",17 хв Сквер імені Володимира Сосюри 18 хв Сквер,"25 хв Станція ""Дарниця"" 27 хв Залізничний вокзал ""Дарниця"" 31 хв пл. Дарницька",9 хв Спеціалізована школа І-ІІІ ступенів № 31 м.Києва з поглибленим вивченням предметів природничо-математичного циклу,,https://dom.ria.com/uk/novostroyka-zhk-star-city-7245/
Київ,метро Шулявська,Солом'янський,ЖК Family & Friends (Фемелі енд Френдс),Клас комфорт,4 планування,від 81.1 м²,від 908 $ за м²,від 73 623 $,5 планувань,від 81.1 м²,від 908 $ за м²,від 73 623 $,4 планування,від 81.1 м²,від 908 $ за м²,від 73 623 $,Всі секції,Шулявська 32 хв Вокзальна 41 хв Політехнічний інститут 43 хв ,3 хв Йога студия 7Nebo 7 хв Дитячий садок My Way,"8 хв Медичний центр ""Родина І Медицина"" 8 хв Rodyna I Medytsyna 8 хв Офтальмолог","17 хв Гастроном ""Авоська"" 21 хв Інтертелеком Київ Радіоринок 24 хв ТМ «Монастирські»",1 хв Сквер ім. Августина Волошина 8 хв Сквер ім. Тетяни Яблонської 10 хв EcoEnergy Point (зона відпочинку з підзарядкою),20 хв вул. Генерала Тупикова 20 хв вул. Борщагівська,,8 хв Міні дитячий сад Кіт Муркіт,https://dom.ria.com/uk/novostroyka-zhk-family-friends-5841/
Київ,Голосіївський,"шосе Наддніпрянське, 2А",ЖК Svitlo Park (Світло Парк),Клас комфорт,42 квартири,від 69.43 м²,від 903 $ за м²,від 70 819 $,205 квартир,від 69.43 м²,від 903 $ за м²,від 70 819 $,82 квартири,від 69.43 м²,від 903 $ за м²,від 70 819 $,Всі секції,None,"108 хв Частный детский мини-сад ""Кенгуренок""","30 хв Лечение наркомании и алкоголизма, детоксикация - наркологическая клиника Асана Кадырова 102 хв Доктор Марченко 105 хв Медичний Центр ""Медейра""","21 хв Магазин Домосфера 27 хв Супермаркет ""Велика Кишеня Експрес"" 35 хв Компанія ""Імпорт-офіс""","36 хв Парк «Покол» 118 хв Лиса гора, оглядовий майданчик 129 хв Лиса гора","13 хв ст. м. Видубичі 24 хв Автостанція ""Видубичі"" 52 хв Станція Київ-Деміївський",,"109 хв Приватний навчально-виховний комплекс школа-дитячий садок ""Міцва"" 109 хв Дитячий садок №506 ""Оленка""",https://dom.ria.com/uk/novostroyka-zhk-svitlo-park-5843/
Київ,метро Лук'янівська,Шевченківський,ЖК Greenville Park (Грінвіль Парк),Клас бізнес,9 квартир,від 92.1 м²,від 1 875 $ за м²,від 184 200 $,33 квартири,від 92.1 м²,від 1 875 $ за м²,від 184 200 $,27 квартир,від 92.1 м²,від 1 875 $ за м²,від 184 200 $,Всі секції,Лук'янівська 10 хв Контрактова площа 25 хв Тараса Шевченка 26 хв ,"8 хв Приватний ліцензований садок ""BabyNest""","1 хв Медичний центр «CONSILIUM MEDICAL» 2 хв Офтальмологічний центр ""Новий Зір"" 9 хв MED HELPER Поділ - Клініка лікування болю. Невропатолог (невролог) на Подолі, Реабілітолог, Консультація Невролога, Лікування Протрузії, Остеохондрозу, Лікування суглобів, Грижі, Лікування хребта, Невролог Поділ, Болі в спині, Міофасціальний масаж","2 хв Студія камінів ""KAMIN-bio"" 2 хв Импортно-экспортная компания товаров из Китая ""CHINATOWN"" 3 хв Шоу-рум ALPRI",2 хв Фонтан-Каскад 3 хв Парк ім. Г. Алієва 12 хв Зона відпочинку БЦ ФОРУМ,14 хв пл. Лук'янівська 15 хв ст. м. Лук'янівська,,,https://dom.ria.com/uk/novostroyka-zhk-greenville-park-7041/
Київ,метро Теремки,Голосіївський,ЖК Senat (Сенат),Клас бізнес,4 планування,від 82.38 м²,від 1 175 $ за м²,від 96 780 $,4 планування,від 82.38 м²,від 1 175 $ за м²,від 96 780 $,2 планування,від 82.38 м²,від 1 175 $ за м²,від 96 780 $,None,Теремки 10 хв Іподром 23 хв Виставковий центр 19 хв ,"1 хв Автошкола ""Агат"" 1 хв Школа ""International Innovative School"" 6 хв Заклад дошкільної освіти №726","13 хв Амбулаторія №7, КНП ""ЦПМСД №1"" Голосіївського району 18 хв Медична лабораторія ""Сінево"" 28 хв Ультразвуковий скринінговий центр 30 хв Клініка отоларингології ""ЛОР КЛІНІКА ОБРАЗЦОВА""","4 хв ТЦ МініСітіМаркет 30 хв ТРЦ ""Respublika Park""","17 хв Парк ""Теремки"" 31 хв Міський парк ""Теремки""","30 хв ст. м. ""Виставковий центр"" 50 хв ст. м. Васильківська",,,https://dom.ria.com/uk/novostroyka-zhk-senat-7990/
Київ,метро Берестейська,Подільський,ЖК Dibrova Park (Діброва Парк),Клас комфорт,3 планування,від 83.01 м²,від 894 $ за м²,від 74 248 $,4 планування,від 83.01 м²,від 894 $ за м²,від 74 248 $,2 планування,від 83.01 м²,від 894 $ за м²,від 74 248 $,Всі секції,Берестейська 22 хв Сирець 24 хв Дорогожичі 37 хв ,2 хв Міжнародний Арт ліцей імені Сальвадора Далі,"1 хв MIRUM clinic 12 хв Київська обласна клінічна лікарня №2 13 хв Амбулаторія №1, КНП ""ЦПМСД №2"" Подільського району","2 хв ТОВ ""Гамаюн"" 21 хв Торговий центр ""Retroville"" 27 хв Зелений Універмаг -торговий центр 40 хв Зоомагазин ""ANIMAL KINGDOM SHOP""","13 хв Парк Сирецький гай 20 хв Парк 20 хв Озеро ""Міністерка""",16 хв вул. Івана Кавалерідзе 22 хв ст. м. Нивки,,,https://dom.ria.com/uk/novostroyka-zhk-dibrova-park-6941/
